id;module_code;module_name;description;category;is_active;created_at;updated_at
da912ab9-6880-4716-aae7-859fbc161bda;users;User Management;Manage system users and accounts;administration;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
82952003-ff9e-45f3-bbd9-e78fc9e6363d;user_roles;User Roles;Assign and manage user roles;administration;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
d8dcee52-28f5-40da-bcf0-d1a1680c052d;system_roles;System Roles;Define and manage system role definitions;administration;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
619ac463-1d37-4867-8033-da6dae670b6d;caregivers;Caregivers;Manage caregiver profiles and information;operations;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
288b666b-5f36-4eaa-991d-1563591464ff;clients;Clients;Manage client profiles and information;operations;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
5b427b3d-8df6-404f-a387-f4c81ba8b8b6;shifts;Shifts;Manage shift scheduling and assignments;operations;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
f6879727-49e7-4c0c-93eb-f5114562fa38;orders;Client Orders;Manage client care orders;operations;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
a385ffc0-a8a1-4ec8-a49c-5278b7128469;availability;Caregiver Availability;Manage caregiver availability schedules;operations;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
bd8ef2b3-19a2-4bf2-982e-a8214e352c09;time_off;Time Off Requests;Manage caregiver time off requests;operations;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
381012c4-e9b0-4069-a7fa-993d0895193f;shift_trades;Shift Trades;Manage shift trade requests;operations;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
c2bdd48b-e2f1-43d4-ae5a-46f6f812e173;care_types;Care Types;Define and manage care type definitions;configuration;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
377d5751-e008-4193-9c50-bb95de38ae55;care_needs;Care Needs;Define and manage care need definitions;configuration;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
678ae3ba-6ade-4e8f-8be1-e6b14d5ea890;reports;Reports & Analytics;View reports and analytics;reporting;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
9fc7512b-07f9-471b-b3e0-e04aa411a74b;agency_settings;Agency Settings;Manage agency business information and configuration;configuration;true;2025-11-08 01:36:12.736647+00;2025-11-08 01:36:12.736647+00
01ddc784-3a3c-4417-9330-e2668e170247;auto_schedule;Auto Schedule;;scheduling;true;2025-11-08 01:54:33.660297+00;2025-11-08 01:54:33.660297+00
d585bcaa-c847-4c82-830a-1310bdffc7f4;available_shifts;Available Shifts;;scheduling;true;2025-11-08 01:54:33.660297+00;2025-11-08 01:54:33.660297+00
cd5ab900-9491-40ee-b17e-48d79332a35f;caregiver_approvals;Caregiver Approvals;;operations;true;2025-11-08 01:54:33.660297+00;2025-11-08 01:54:33.660297+00
930c771f-ea36-4888-94a8-020968b77d98;caregiver_registration;Caregiver Registration;;operations;true;2025-11-08 01:54:33.660297+00;2025-11-08 01:54:33.660297+00
0188b714-595d-4e77-88e7-3e2be46f86df;live_operations;Live Operations;;operations;true;2025-11-08 01:54:33.660297+00;2025-11-08 01:54:33.660297+00
a52afe11-2da1-4ccb-8bc3-44762addd4e7;quick_assign;Quick Assign;;scheduling;true;2025-11-08 01:54:33.660297+00;2025-11-08 01:54:33.660297+00
997aeaa7-ac4c-4370-8869-4c219f185fa7;caregiver_dashboard;My Dashboard;;dashboard;true;2025-11-08 02:13:40.166173+00;2025-11-08 02:13:40.166173+00
f9c7f998-6039-4c97-a4f8-bb5fe66c73fe;caregiver_time_off;My Time Off;;personal;true;2025-11-08 02:13:40.166173+00;2025-11-08 02:13:40.166173+00
c2e7fe96-9903-4e0f-b392-764c7dac5fc9;caregiver_settings;My Settings;;personal;true;2025-11-08 02:13:40.166173+00;2025-11-08 02:13:40.166173+00
84943bac-c229-4339-8e13-cf447dfc0d21;client_dashboard;My Dashboard;;dashboard;true;2025-11-08 02:13:40.166173+00;2025-11-08 02:13:40.166173+00
4d27e470-7de7-43b7-876d-f27e12650537;agency;System Settings;Manage agency-wide settings;administration;true;2025-11-08 01:12:09.381606+00;2025-11-08 02:43:21.86532+00
