id;role_code;module_code;can_create;can_read;can_update;can_delete;created_at;updated_at
8439ab66-95a5-491b-8c0c-038a21bf5097;system_admin;users;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
1a03f822-b573-4b11-935d-9873a7143554;system_admin;user_roles;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
2132e406-7a27-419b-b0a5-e206d82cd1cb;system_admin;system_roles;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
6c158b3e-538e-423c-ac75-9c694f783943;system_admin;caregivers;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
a02db7b2-c929-496e-bfbf-71ee2ccf09b9;system_admin;clients;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
fc8028c3-e347-40e9-a877-5516ba420631;system_admin;shifts;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
684bbfc2-07b8-42b6-ad68-10aaca3b537e;system_admin;orders;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
d39c213a-6fbc-4b8e-9f00-953bd6c074ee;system_admin;availability;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
0cc80359-9c8d-4814-bd3e-8bc6ca6288f6;system_admin;time_off;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
e044ee3c-d770-4e44-9505-98b38fb608d0;system_admin;shift_trades;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
b8cf492c-b543-47e6-acf7-8d528200e03f;system_admin;care_types;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
9893516a-c91c-4ad4-b516-4a35f09840ac;system_admin;care_needs;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
8fa098cb-ddcd-4795-83b3-6eba93307d70;system_admin;reports;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
d906eb84-0fc0-4a32-80ff-2b92c7b180d1;system_admin;agency;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
d9e6872d-558e-4099-a661-6ad9a1b3e6de;agency_admin;users;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
aec5ad8a-e5e6-4690-83ce-d04929d39a78;agency_admin;user_roles;true;true;true;false;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
a13c7faf-f37e-473d-a850-9c096276430e;agency_admin;caregivers;true;true;true;true;2025-11-08 01:12:09.381606+00;2025-11-08 01:12:09.381606+00
